Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,Confusion_Matrix,Train_Time,Feature_Set
LogisticRegression,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557439892895024,"[[75075  5634]
 [50805 29204]]",11.030904531478882,Heuristic/Meta
LogisticRegression,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.654201836604288,"[[16065  1230]
 [10921  6224]]",11.030904531478882,Heuristic/Meta
RandomForest,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557692585662988,"[[75075  5634]
 [50805 29204]]",5.0603554248809814,Heuristic/Meta
RandomForest,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.6542212617563694,"[[16065  1230]
 [10921  6224]]",5.0603554248809814,Heuristic/Meta
LightGBM,Train,0.6488321158799886,0.8382800390378322,0.36500893649464433,0.5085722744172682,0.6557690840391044,"[[75075  5634]
 [50805 29204]]",0.8632516860961914,Heuristic/Meta
LightGBM,Validation,0.6471835075493612,0.834987925945801,0.363021289005541,0.5060368307654782,0.6542207457757672,"[[16065  1230]
 [10921  6224]]",0.8632516860961914,Heuristic/Meta
